unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,borough,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location
59895237,2024-01-01T10:12:47.000,HPD,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10462,1917 MATTHEWS AVENUE,MATTHEWS AVENUE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1022256,248510,40.848695785837876,-73.86262672783926,"
,  
(40.848695785837876, -73.86262672783926)"
59899664,2024-01-01T10:12:45.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11230,1075 OCEAN PARKWAY,OCEAN PARKWAY,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,992552,165973,40.62223013565234,-73.9700941207481,"
,  
(40.62223013565234, -73.9700941207481)"
59897392,2024-01-01T10:12:41.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,BRONX,1022911,264242,40.89187241649303,-73.86016845296459,"
,  
(40.89187241649303, -73.86016845296459)"
59899088,2024-01-01T10:12:24.000,NYPD,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10463,1 ADRIAN AVENUE,ADRIAN AVENUE,TERRACE VIEW AVENUE,WEST  227 STREET,TERRACE VIEW AVENUE,WEST  227 STREET,ADDRESS,BRONX,ADRIAN AVENUE,BRONX,1008456,258402,40.875894942376384,-73.91247127084895,"
,  
(40.875894942376384, -73.91247127084895)"
59899576,2024-01-01T10:12:20.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11358,29-10 159 STREET,159 STREET,29 AVENUE,32 AVENUE,29 AVENUE,32 AVENUE,ADDRESS,FLUSHING,159 STREET,QUEENS,1038152,220182,40.77086074963879,-73.80539802141905,"
,  
(40.77086074963879, -73.80539802141905)"
59895901,2024-01-01T10:12:17.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11226,185 ERASMUS STREET,ERASMUS STREET,LLOYD STREET,NOSTRAND AVENUE,LLOYD STREET,NOSTRAND AVENUE,ADDRESS,BROOKLYN,ERASMUS STREET,BROOKLYN,998197,176012,40.649777960914705,-73.94973867371624,"
,  
(40.649777960914705, -73.94973867371624)"
59897909,2024-01-01T10:12:13.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451,710 GERARD AVENUE,GERARD AVENUE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1004453,239482,40.823975230253204,-73.92700309541591,"
,  
(40.823975230253204, -73.92700309541591)"
59899568,2024-01-01T10:11:46.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3675 BROADWAY,BROADWAY,WEST  152 STREET,WEST  153 STREET,WEST  152 STREET,WEST  153 STREET,ADDRESS,NEW YORK,BROADWAY,MANHATTAN,998871,242017,40.830944084252245,-73.94716628869014,"
,  
(40.830944084252245, -73.94716628869014)"
59899670,2024-01-01T10:11:39.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451,710 GERARD AVENUE,GERARD AVENUE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1004453,239482,40.823975230253204,-73.92700309541591,"
,  
(40.823975230253204, -73.92700309541591)"
59899565,2024-01-01T10:11:17.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,64 WADSWORTH TERRACE,WADSWORTH TERRACE,WEST  190 STREET,FAIRVIEW AVENUE,WEST  190 STREET,FAIRVIEW AVENUE,ADDRESS,NEW YORK,WADSWORTH TERRACE,MANHATTAN,1003347,251388,40.8566561819841,-73.93096535898677,"
,  
(40.8566561819841, -73.93096535898677)"
